Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-03-02 10:00:56,143.6,4.78,950.94,0.0,0.0
2021-03-02 11:00:56,143.63,5.35,966.01,0.0,0.0
2021-03-02 12:00:56,128.63,4.55,948.18,0.0,0.0
2021-03-02 13:00:56,104.59,3.73,885.07,0.0,0.0
2021-03-02 14:00:56,97.35,3.63,883.04,0.0,0.0
2021-03-02 15:00:56,90.31,3.79,839.39,0.0,0.0
2021-03-02 16:00:56,105.5,3.4,881.06,0.0,0.0
2021-03-02 17:00:56,113.25,3.74,823.79,0.0,0.0
2021-03-02 18:00:56,71.27,4.73,807.44,0.0,0.0
2021-03-02 19:00:56,62.2,5.22,896.03,0.0,0.0
2021-03-02 20:00:56,70.64,6.46,918.92,0.0,0.0
2021-03-02 21:00:56,82.2,6.43,978.23,0.0,0.0
2021-03-02 22:00:56,82.2,5.59,886.34,0.0,0.0
2021-03-02 23:00:56,82.2,5.97,766.46,0.0,0.0
2021-03-03 00:00:56,82.2,3.29,694.54,0.0,0.0
2021-03-03 01:00:56,82.2,3.51,760.16,0.0,0.0
2021-03-03 02:00:56,82.2,4.44,732.85,0.0,0.0
2021-03-03 03:00:56,82.2,6.34,636.24,0.0,0.0
2021-03-03 04:00:56,82.2,3.16,600.29,0.0,0.0
2021-03-03 05:00:56,82.2,2.37,591.62,0.0,0.0
2021-03-03 06:00:56,82.2,2.34,607.67,0.0,0.0
2021-03-03 07:00:56,82.2,4.97,594.82,0.0,0.0
2021-03-03 08:00:56,82.2,3.45,638.03,0.0,0.0
2021-03-03 09:00:56,82.2,4.36,736.13,0.0,0.0
2021-03-03 10:00:56,82.31,5.21,828.19,0.0,0.0
2021-03-03 11:00:56,88.93,3.67,885.95,0.0,0.0
2021-03-03 12:00:56,126.37,5.42,885.67,0.0,0.0
2021-03-03 13:00:56,104.98,5.16,857.16,0.0,0.0
2021-03-03 14:00:56,101.67,5.11,860.82,0.0,0.0
2021-03-03 15:00:56,129.36,6.25,839.84,0.0,0.0
2021-03-03 16:00:56,128.71,4.58,911.28,0.0,0.0
2021-03-03 17:00:56,126.98,5.43,938.64,0.0,0.0
2021-03-03 18:00:56,108.85,6.94,901.77,0.0,0.0
2021-03-03 19:00:56,71.14,6.65,950.31,0.0,0.0
2021-03-03 20:00:56,76.28,8.51,1151.73,0.0,0.0
2021-03-03 21:00:56,104.79,9.35,1148.87,0.0,0.0
2021-03-03 22:00:56,110.97,11.0,1045.31,0.0,0.0
2021-03-03 23:00:56,98.62,9.24,812.87,0.0,0.0
