Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-04-10 19:00:56,42.96,19.39,3.0,8.77,10.56,77.11
2018-04-10 20:00:56,42.18,19.41,3.17,9.42,11.15,73.88
2018-04-10 21:00:56,37.6,18.38,2.73,9.37,10.88,69.3
2018-04-10 22:00:56,33.99,16.95,3.13,9.25,10.81,63.89
2018-04-10 23:00:56,32.1,14.71,3.33,9.34,10.99,47.47
2018-04-11 00:00:56,32.91,14.38,3.31,9.41,10.93,38.83
2018-04-11 01:00:56,33.52,14.42,3.21,7.45,8.87,50.74
2018-04-11 02:00:56,40.45,16.4,3.08,6.83,8.21,39.23
2018-04-11 03:00:56,45.29,17.94,3.13,6.35,7.74,52.83
2018-04-11 04:00:56,42.37,17.19,3.28,6.58,7.91,50.91
2018-04-11 05:00:56,36.86,17.76,2.94,5.07,6.46,60.28
2018-04-11 06:00:56,33.08,17.32,3.26,4.46,5.81,69.0
2018-04-11 07:00:56,29.3,15.02,2.88,6.06,7.56,60.51
2018-04-11 08:00:56,25.33,13.7,3.2,4.91,6.63,53.08
2018-04-11 09:00:56,23.22,12.39,2.86,6.02,9.01,32.18
2018-04-11 10:00:56,28.49,13.85,3.01,7.3,10.89,39.21
2018-04-11 11:00:56,34.08,15.35,3.1,9.01,12.91,50.48
2018-04-11 12:00:56,39.53,17.79,2.99,8.75,12.07,63.41
2018-04-11 13:00:56,42.67,18.53,3.24,7.21,9.91,72.13
2018-04-11 14:00:56,43.66,18.5,3.33,7.01,9.42,75.4
2018-04-11 15:00:56,45.91,20.12,3.02,7.61,9.86,76.86
2018-04-11 16:00:56,46.67,21.15,2.97,7.55,9.78,80.14
2018-04-11 17:00:56,41.54,19.21,3.27,10.79,13.26,75.72
2018-04-11 18:00:56,41.11,20.11,3.4,9.99,11.83,88.92
2018-04-11 19:00:56,42.93,23.02,3.37,10.67,12.16,89.54
